min_features_to_select,step,cv,Results
38.0,0.04485261007457113,16.0,0.015696574021851428
29.0,0.09470822304218234,4.0,0.015696574021851428
23.0,0.07340463611641415,5.0,0.014787351949738126
31.0,0.02071820001514905,15.0,0.015236716464893996
44.0,0.010147965509792722,20.0,0.015696574021851428
30.0,0.1262141004927734,2.0,0.015592026162650874
3.0,0.10970718544909396,9.0,0.014850047874503058
4.0,0.1950135485798773,6.0,0.014881395836885636
6.0,0.1274933417732866,9.0,0.014776902628943933
46.0,0.09868494971711621,17.0,0.015790628839250753
