Classifier,N_components,Training time,Training std,Testing time,Testing std
LogisticRegression,2,179.52273000410065,2.7461429945174864,0.2177600021241233,0.03307760509178949
LogisticRegression,4,163.84824000997472,1.7592086966832063,0.23091000330168757,0.04168439877945451
LogisticRegression,8,172.31441000185447,4.547260597095844,0.23511000181315467,0.05145823008363456
LogisticRegression,16,189.14456000056816,2.155224122191948,0.24207999667851257,0.08906005808532241
LogisticRegression,32,160.16098999971294,1.0625252076585205,0.22521999926539144,0.0457966795985725
KNeighborsClassifier,2,0.3496399978757837,0.20409899621688396,-11.455520000890823,35.57860752859869
KNeighborsClassifier,4,0.317969999741763,0.20990756843794325,7.026619998214302,1.9991460819778897
KNeighborsClassifier,8,0.3503799991449342,0.2132242776443673,7.254129998909776,2.0762644703223763
KNeighborsClassifier,16,0.3377700006240048,0.21123842768485107,9.90255999931833,3.2299492882754968
KNeighborsClassifier,32,0.386939999589231,0.2482130437407324,11.79386000003433,4.785181507223422
RandomForestClassifier,2,5963.51649999997,79.11422253088182,12.71890999923926,0.3599903325065868
RandomForestClassifier,4,4195.704619995377,175.33240239067712,10.48876999411732,0.3059854811467785
RandomForestClassifier,8,2798.7479000017634,83.0837550208781,8.898420001787601,0.23380338328384556
RandomForestClassifier,16,2749.0426000018488,59.908927241605646,8.826910000061618,0.17600605444861586
RandomForestClassifier,32,2694.393499993021,92.22985764489958,8.513510000193493,0.18929156631306993
MLPClassifier,2,1105.481989996042,447.80313885839007,0.38961000100243853,0.21108275683172906
MLPClassifier,4,936.0094700023183,411.11082865247795,0.49807000032160437,0.024134971128704753
MLPClassifier,8,1250.441600001068,261.1003009440285,0.4120500016142615,0.1406406370199136
MLPClassifier,16,1151.6802599973746,334.60756557749835,0.4632800002582372,0.1621907709361012
MLPClassifier,32,1058.160310002859,213.5916292037828,0.44230000203242525,0.18838648013468898
