Model,N_components,Accuracy,Precision,Recall,F1,TP,TN,FP,FN
PCA,2.0,0.9607187630589219,0.9548904766028418,0.9607187630589219,0.9569005587609783,1237.0,38.0,27.0,0.0
PCA,5.0,0.9678228165482657,0.9655049668150595,0.9678228165482657,0.9645242169986975,1234.0,29.0,22.0,3.0
PCA,10.0,0.9736732135394902,0.97284421815154,0.9736732135394902,0.9718603242871625,1235.0,39.0,14.0,2.0
PCA,15.0,0.9749268700376097,0.9731405224232954,0.9749268700376097,0.9739269831812788,1235.0,53.0,13.0,1.0
PCA,20.0,0.9770162975344756,0.9756841148142641,0.9770162975344756,0.97625246625768,1234.0,57.0,12.0,3.0
PCA,25.0,0.9774341830338488,0.976403796884741,0.9774341830338488,0.976791498732797,1234.0,60.0,11.0,3.0
PCA,30.0,0.9782699540325951,0.9774265718436965,0.9782699540325951,0.977689271536447,1234.0,62.0,10.0,3.0
PCA,35.0,0.9828666945257,0.9822169926446109,0.9828666945257,0.9824038024482898,1237.0,68.0,7.0,0.0
PCA,40.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
Opt_PCA_model,38.0,0.9841203510238195,0.9836950462234993,0.9841203510238195,0.9836841303781563,1237.0,71.0,6.0,0.0
All_variables,48.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
ICA,2.0,0.9352277475971584,0.8760200337585842,0.9352277475971584,0.9043991080870093,1237.0,0.0,80.0,0.0
ICA,5.0,0.9352277475971584,0.8758769107018408,0.9352277475971584,0.9043601791046718,1237.0,0.0,79.0,0.0
ICA,10.0,0.9352277475971584,0.8758556504624476,0.9352277475971584,0.9043606079890898,1236.0,0.0,79.0,0.0
ICA,15.0,0.9356456330965316,0.8763767941226601,0.9356456330965316,0.9047975087012933,1237.0,0.0,79.0,0.0
ICA,20.0,0.9352277475971584,0.8763406298489931,0.9352277475971584,0.9044862905097873,1237.0,0.0,81.0,0.0
ICA,25.0,0.9356456330965316,0.8766921194487612,0.9356456330965316,0.9048838359861309,1237.0,0.0,80.0,0.0
ICA,30.0,0.9356456330965316,0.876636378055804,0.9356456330965316,0.9048685836986335,1237.0,0.0,81.0,0.0
ICA,35.0,0.9356456330965316,0.877118147861277,0.9356456330965316,0.9050002992197973,1237.0,0.0,85.0,0.0
ICA,40.0,0.9356456330965316,0.8770534383368598,0.9356456330965316,0.9049826216939068,1237.0,0.0,84.0,0.0
Opt_ICA_model,28.0,0.980777267028834,0.9803371489141898,0.980777267028834,0.9804409626112898,1236.0,60.0,5.0,0.0
All_variables,48.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
SVD,2.0,0.9607187630589219,0.9548904766028418,0.9607187630589219,0.9569005587609783,1237.0,38.0,27.0,0.0
SVD,5.0,0.9674049310488926,0.9653125161678745,0.9674049310488926,0.964193090951261,1234.0,29.0,22.0,3.0
SVD,10.0,0.973255328040117,0.9724989365749606,0.973255328040117,0.9711588862645467,1235.0,37.0,15.0,2.0
SVD,15.0,0.9749268700376097,0.9731405224232954,0.9749268700376097,0.9739269831812788,1235.0,53.0,13.0,1.0
SVD,20.0,0.9770162975344756,0.9756841148142641,0.9770162975344756,0.97625246625768,1234.0,57.0,12.0,3.0
SVD,25.0,0.9774341830338488,0.976403796884741,0.9774341830338488,0.976791498732797,1234.0,60.0,11.0,3.0
SVD,30.0,0.9782699540325951,0.9774265718436965,0.9782699540325951,0.977689271536447,1234.0,62.0,10.0,3.0
SVD,35.0,0.9828666945257,0.9822169926446109,0.9828666945257,0.9824038024482898,1237.0,68.0,7.0,0.0
SVD,40.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
Opt_SVD_model,45.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
All_variables,48.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
RF,2.0,0.9711659005432511,0.9835262914139774,0.9711659005432511,0.9662245193651682,1237.0,18.0,4.0,0.0
RF,5.0,0.9795236105307146,0.9855161379672568,0.9795236105307146,0.9781296929924346,1237.0,40.0,4.0,0.0
RF,10.0,0.9799414960300877,0.9860353513229402,0.9799414960300877,0.9785438656759191,1237.0,40.0,4.0,0.0
RF,15.0,0.9849561220225658,0.9846438270337529,0.9849561220225658,0.9844762061522995,1237.0,72.0,4.0,0.0
RF,20.0,0.9849561220225658,0.9846077530375403,0.9849561220225658,0.9845494640407852,1237.0,72.0,4.0,0.0
RF,25.0,0.9845382365231926,0.9841252188245012,0.9845382365231926,0.9841816109833539,1237.0,70.0,5.0,0.0
RF,30.0,0.9841203510238195,0.9837181534081715,0.9841203510238195,0.9837642201689217,1237.0,71.0,4.0,0.0
RF,35.0,0.9845382365231926,0.9841965834565312,0.9845382365231926,0.9841708299122389,1237.0,72.0,4.0,0.0
RF,40.0,0.9845382365231926,0.9841965834565312,0.9845382365231926,0.9841708299122389,1237.0,72.0,4.0,0.0
Opt_RF_model,42.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
All_variables,48.0,0.9841203510238195,0.9836993182241537,0.9841203510238195,0.9837227680533817,1237.0,71.0,5.0,0.0
